17_P_17,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_18,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_19,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_20,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_21,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_22,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_23,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_24,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
17_P_25,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_01_3,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_02_3,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_03_3,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_04_3,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_05_3,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_06_3,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_07_3,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_08_3,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_09_3,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_10_3,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_01_4,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_02_4,0.535,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_03_4,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_04_4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_05_4,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_06_4,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_07_4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_08_4,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_09_4,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,
17_G_10_4,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,
